Spalte3,A,A2,B,B2,C,C2,Insgesamt,Spalte1,Spalte2,Spalte22,Spalte23,Spalte24,Spalte25,Spalte26,SIN -120,SIN,SIN  +120,FA,Unnamed: 19,FB,Unnamed: 21,FC,Unnamed: 23,FX,FY
Position_mm,Fx_N,Fy_N,Fx_N,Fy_N,Fx_N,Fy_N,Umfang [mm],FxA ,FyA,FxB,FyB,FxC ,FyC,FOR SIN,SINA,COSB,TANC,X,Y,X,Y,X,Y,,
0,0.6216318391832705,3.190065787067792,-0.1867190110685024,2.791691472915918,-0.0899260900703328,3.74917444975021,81.68140899333463,,260569068269128096,,228029292982449216,,30623785161740720,0,-0.766044443118978,0.9396926207859083,-0.17364817766693047,,244854830657559232,,-174680572757554592,,-5317764486599862,,6.4856493413404776e+16
2,0.5177522514604894,3.455310407287216,-0.07074999372766951,2.743140788684585,-0.349729497058844,3.655954892806071,81.68140899333463,,282234622576552256,,224063604686843712,,298623546860475456,0.13333333333333333,-0.4383711467890774,0.9975640502598243,-0.559192903470747,,281547113221018304,,-98223019340266176,,-166988168213641952,,1.6335925667110176e+16
4,0.3650989070979869,3.659217090766044,0.09229661179346743,2.74595826282121,-0.5024685396962938,3.458386090659323,81.68140899333463,,298890007786260992,,22429373994412592,,282485848728003552,0.26666666666666666,-0.03489949670250102,0.8829475928589271,-0.848048096156426,,263904212904465120,,-782773863757164.4,,-239561586204915552,,2.3559852835792416e+16
6,0.1006066755422311,3.753938639684722,0.2035168944018704,2.79618290129504,-0.6110737299464614,3.195013361184255,81.68140899333463,,306626997363969856,,22839615918084920,,260973193094059488,0.4,0.374606593415912,0.6156614753256584,-0.9902680687415703,,188778429571778464,,8555870714001630,,-258433419918575200,,-6.10991196327951e+16
8,-0.09060438105120654,3.676445444154173,0.3643280562820342,2.856252370935958,-0.5346021480466745,2.860771447679356,81.68140899333463,,300297243965638528,,233302718098601056,,233671842654350976,0.5333333333333333,0.7193398003386511,0.24192189559966773,-0.9612616959383188,,72648478503523152,,167823930655512288,,-224619791762953408,,1.5852617396082048e+16
10,-0.2161358437840409,3.611809590837875,0.5076253075830822,3.052714851816094,-0.3099173764491291,2.662772229646409,81.68140899333463,,295017696395276672,,249350050351216960,,217498987545841152,0.6666666666666666,0.9396926207859083,-0.17364817766693003,-0.7660444431189781,,-51229285358535424,,234312402307633248,,-166613890793495456,,1.6469226155602368e+16
12,-0.3392971588962785,3.477332522391295,0.540861607475952,3.280785546290728,-0.06058275656638611,2.574187367848886,81.68140899333463,,284033419967266912,,267979186025993088,,210263251218739904,0.8,0.9975640502598242,-0.5591929034707467,-0.4383711467890778,,-158829472794221952,,267326402197420544,,-92173342564358976,,1.6323586838839616e+16
14,-0.3602133119337202,3.358557682798806,0.51868355606286,3.569484348846411,0.2307327453260789,2.656631987043025,81.68140899333463,,274331723716395008,,291560510993430336,,216997443878436192,0.9333333333333333,0.8829475928589269,-0.848048096156426,-0.034899496702500823,,-232646496012999424,,257432651354368000,,-7573101577086591,,1.7213053764281984e+16
16,-0.4449575583873184,3.240839800678966,0.2739833103942398,3.813617763455385,0.3622201134421499,2.85099883305789,81.68140899333463,,264716361241135200,,311501672281044992,,23287360172252128,1.0666666666666667,0.6156614753256584,-0.9902680687415703,0.3746065934159119,,-262140159810554816,,191779579122957920,,8723598663776753,,-6.163698202382014e+16
18,-0.4519085929318406,3.019144080950294,-0.005738984219403739,3.849363212340577,0.4369290207000245,3.01898406234205,81.68140899333463,,246607942485906016,,314421410911086528,,24659487194051984,1.2,0.24192189559966773,-0.9612616959383188,0.7193398003386509,,-237054769025861408,,76065423744732096,,17738550594622872,,-1.4325079468650643e+17
20,-0.3748882151249183,2.854957365876689,-0.2832436454249558,3.817251864269419,0.4320871253978726,3.244703149298886,81.68140899333463,,233196940260706400,,311798510755958784,,265031924999842720,1.3333333333333333,-0.17364817766693003,-0.7660444431189787,0.9396926207859084,,-178639220239062560,,-54143243192034920,,249048544195036544,,1.6266080763939072e+16
22,-0.2339107105361891,2.649850173483688,-0.5182498975324765,3.562297428651163,0.3571026103940448,3.351806634689105,81.68140899333463,,216443495791379200,,290973473225559680,,273780288594612928,1.4666666666666666,-0.5591929034707463,-0.4383711467890778,0.9975640502598243,,-94882583465103840,,-162710301325968192,,273113373571745664,,1.5520488780673632e+16
24,0.05494310303114284,2.569511404525682,-0.5428684345693728,3.275835391482094,0.3335109730067229,3.473183843289465,81.68140899333463,,209881311946099776,,267574850406489056,,283694550012768224,1.6,-0.848048096156426,-0.034899496702500823,0.8829475928589272,,-7324752154179456,,-226916342466563520,,250487420040970240,,1.6246325420227264e+16
26,0.3138100793734259,2.662886569515797,-0.5004277870825171,3.052643672262907,0.219900378939746,3.612829795977808,81.68140899333463,,217508326987477056,,249344236305020896,,295101028188568384,1.7333333333333334,-0.9902680687415704,0.37460659341591274,0.6156614753256583,,81480053412373216,,-246917635337614784,,181682334384692672,,1.6244752459451104e+16
28,0.5406816947945612,2.855834557438647,-0.3548893181148153,2.850550333721271,0.09639441792081045,3.672386572527394,81.68140899333463,,233268590503444352,,232836967664773568,,299965709612240064,1.8666666666666667,-0.9612616959383188,0.7193398003386509,0.24192189559966712,,167799381318026176,,-223817258414575744,,72568273084292400,,1.6550395987742832e+16
30,0.6202415848599284,3.204337760551953,-0.1907718799594832,2.804848477944026,-0.09242879635198291,3.76378325556393,81.68140899333463,,261734823172429792,,229103975691277632,,30743111945998188,2,-0.7660444431189781,0.9396926207859084,-0.17364817766692978,,245950281937836864,,-175503827474768672,,-5338485365233005,,6.510796909783518e+16
32,0.5110798525714582,3.468362237024958,-0.07981864854675987,2.754755345296948,-0.3576649712481221,3.669162585063645,81.68140899333463,,283300714419471968,,225012298035774112,,299702369773624128,2.1333333333333333,-0.4383711467890778,0.9975640502598243,-0.5591929034707468,,282610608117790272,,-98638899131588048,,-167591438330776256,,1.6380270655425984e+16
34,0.3562201127047028,3.671619852296434,0.08130276464285752,2.756770678340909,-0.5127042890168172,3.470759277906852,81.68140899333463,,299903082823471552,,225176913278395584,,283496508096120192,2.2666666666666666,-0.03489949670250171,0.8829475928589272,-0.8480480961564253,,264798705069955680,,-7858560942438881,,-240418673957909344,,1.6521470169607456e+16
36,0.08979359755259435,3.767737781904665,0.1912409991489468,2.808169855899975,-0.6226872727911087,3.208461233535738,81.68140899333463,,307754130743393984,,229375270522519008,,262071634255690880,2.4,0.3746065934159119,0.6156614753256583,-0.9902680687415703,,189472362171043456,,85925488704294080,,-259521171126330144,,1.5876679749007392e+16
38,-0.1037029671602933,3.676557813826829,0.3504264498984631,2.854378164848143,-0.5482412080007404,2.860270172226006,81.68140899333463,,300306422478828736,,233149630304604864,,233630897769027584,2.533333333333333,0.7193398003386509,0.24192189559966884,-0.9612616959383189,,72650698986833248,,167713808512344736,,-224580433013047456,,1.5784074486130528e+16
40,-0.2269375892371966,3.617833983202539,0.4963214161120647,3.057081821151885,-0.3209686488749103,2.668454885481268,81.68140899333463,,295509777251950784,,249706750559594976,,217963154881256704,2.6666666666666665,0.9396926207859081,-0.17364817766692978,-0.7660444431189788,,-51314734302561592,,234647590861278816,,-166969463601468000,,1.6363392957249216e+16
42,-0.3467213715457957,3.477512892951454,0.5326292760225312,3.279675727902462,-0.06842061415495117,2.574690958122304,81.68140899333463,,284048152888761696,,267888534496313280,,210304385181828192,2.8,0.9975640502598243,-0.5591929034707468,-0.438371146789078,,-158837711339369248,,267235971490310944,,-92191374506930016,,1.620688564401168e+16
44,-0.3696497028782133,3.349395492351162,0.5082888366276009,3.55875084305215,0.2204317472159331,2.648248912952914,81.68140899333463,,273583343091166496,,29068378311671708,,216312702575060480,2.933333333333333,0.882947592858928,-0.8480480961564253,-0.03489949670250284,,-232011833248573856,,25665854658603204,,-7549204450227801,,-2.1389518304019846e+17
46,-0.4482148234554639,3.225119449544571,0.2698970678152304,3.795978705784856,0.3574694487257755,2.835872488537361,81.68140899333463,,263432300810608256,,310060889197201408,,231638060589165760,3.066666666666667,0.6156614753256583,-0.9902680687415705,0.37460659341591246,,-260868595767869472,,190892544483934496,,86773144782776112,,1.6797093498841136e+16
48,-0.4524119552232405,3.013596500320226,-0.00653470182571391,3.842352807270352,0.434911627925452,3.013601019184311,81.68140899333463,,246154808283537792,,313848791147336896,,246155177390723712,3.2,0.24192189559966884,-0.9612616959383189,0.7193398003386506,,-236619188474005280,,75926894486028304,,177069216156568320,,1.637692216859136e+16
50,-0.3713572585461319,2.843841225038703,-0.2796064369451269,3.804928965936165,0.4345332125388033,3.233641173939699,81.68140899333463,,232288958214491840,,310791959057217280,,264128367266254528,3.3333333333333335,-0.17364817766692978,-0.7660444431189777,0.9396926207859083,,-177943665638107872,,-53968457323820832,,248199477660329632,,1.6287354698400928e+16
52,-0.4285022746148868,3.584955195187488,-0.2119858060952198,-0.7069266833005203,0.02156545821771161,-1.122322085779919,81.68140899333463,,292824191520888320,,,,-91672849310841216,3.466666666666667,-0.5591929034707468,-0.4383711467890764,0.9975640502598242,,-128365676644595952,,,,-91449538857381296,,
54,-0.492856878203797,3.484287300763225,-0.1127819442547221,-0.6239719152936416,-0.1120091403666887,-1.105933301111651,81.68140899333463,,284601496063922528,,,,-90334190287449376,3.6,-0.8480480961564253,-0.034899496702501066,0.8829475928589273,,-9932448973409734,,,,-79760355867163712,,
56,-0.5567633954994038,3.370892199516908,0.0002281115789289693,-0.6091178106979824,-0.2324634615145183,-1.02669477771218,81.68140899333463,,275339224421181248,,,,-8386187604962936,3.7333333333333334,-0.9902680687415703,0.37460659341591246,0.6156614753256584,,103143888894198112,,,,-5163052633229231,,
58,-0.6120071868909945,3.214472921991477,0.1117862757481239,-0.6247523659742337,-0.2910423412317439,-0.86738782637245,81.68140899333463,,262562677439184704,,,,,3.8666666666666667,-0.9612616959383193,0.7193398003386506,0.24192189559966906,,188871783965484640,,,,,,
60,-0.6088924221723441,3.046448562610808,0.2071808107289119,-0.699823958938835,-0.2597820128545046,-0.7015244684938005,81.68140899333463,,248838211019769152,,,,,4,-0.7660444431189788,0.9396926207859083,-0.17364817766692955,,233831430664843776,,,,,,
62,-0.545873240323465,2.878277625811303,0.2680793627850495,-0.8209567381560647,-0.1368578741656619,-0.5806148929710228,81.68140899333463,,235101771950256960,,,,,4.133333333333334,-0.438371146789078,0.9975640502598242,-0.5591929034707481,,234529075849959872,,,,,,
64,-0.445119774696558,2.756557834654532,0.2614480191339341,-0.980294268027596,0.02559390351316763,-0.5627615250947057,81.68140899333463,,225159527906197568,,,,,4.266666666666667,-0.03489949670250284,0.8829475928589273,-0.8480480961564262,,198804063174029600,,,,,,
66,-0.3467680547708043,2.666466889111017,0.1543519021575633,-1.109531202084274,0.151222421145753,-0.6251259330013587,81.68140899333463,,217800772536661056,,-90628071908311472,,,4.4,0.37460659341591246,0.6156614753256571,-0.9902680687415707,,134091544946988592,,-33949873285424912,,,,
68,-0.2497877063025754,2.604333106453554,-0.003414475442136953,-1.16748190232223,0.2269830997244383,-0.7473886203690761,81.68140899333463,,212725597623114112,,-9536156675589842,,,4.533333333333333,0.7193398003386494,0.24192189559966906,-0.9612616959383194,,51462979819556224,,-6859737039016876,,,,
70,-0.1347192681321761,2.553903050049543,-0.1585192028529111,-1.109846481244019,0.2425063617092687,-0.8646428687596752,81.68140899333463,,208606399560421248,,-90653824354305264,,,4.666666666666667,0.9396926207859083,-0.1736481776669313,-0.7660444431189779,,-36224121133326888,,-85186729791762512,,,,
72,-0.005779884773350484,2.533675382458111,-0.2607983022012786,-0.9784033728085725,0.2047593522497614,-0.9746077152570937,81.68140899333463,,206954175170904416,,,,,4.8,0.9975640502598243,-0.5591929034707451,-0.43837114678907824,,-115727306099211232,,,,,,
