Spalte3,A,A2,B,B2,C,C2,Insgesamt,Spalte1,Spalte2,Spalte22,Spalte23,Spalte24,Spalte25,Spalte26,SIN -120,SIN,SIN  +120,FA,Unnamed: 19,FB,Unnamed: 21,FC,Unnamed: 23,FX,FY
Position_mm,Fx_N,Fy_N,Fx_N,Fy_N,Fx_N,Fy_N,Umfang [mm],FxA ,FyA,FxB,FyB,FxC ,FyC,FOR SIN,SINA,COSB,TANC,X,Y,X,Y,X,Y,,
22,0.1045648676576765,2.628936384993285,0.2102914841345396,3.162459024716923,-0.1740361412938727,3.533921579380615,81.68140899333463,,214735228080094720,,258314109022564896,,288655693875758656,1.4666666666666666,0.9135454576426008,-0.1045284632676543,-0.8090169943749461,,-22445943400641548,,235981680942559712,,-233527361868580800,,-1.9991624326662624e+16
24,0.3606279867717775,2.780048520528328,0.2579317530317097,3.314553664884036,-0.2302999570741277,3.483329202280069,81.68140899333463,,227078280226588544,,270737413531748672,,284523237229863616,1.6,0.6691306063588589,0.3090169943749472,-0.9781476007338057,,70171047643452392,,181158689680528128,,-278305721849406528,,-2.6975984525426016e+16
26,0.4332093959730266,3.02079638480179,0.13321812128567,3.467274589302622,-0.3745982394748505,3.411312248495571,81.68140899333463,,24674290499258168,,283211873821023648,,278640790973338624,1.7333333333333334,0.30901699437494606,0.6691306063588585,-0.9781476007338058,,16510322963243238,,87517282019469200,,-272551821157141056,,-1.685242161744286e+17
28,0.4376565595477833,3.2038564332172,-0.007092500395782542,3.47734331776318,-0.4513792283218849,3.20400669833117,81.68140899333463,,2616955076775404,,28403430174845348,,26170778154377200,1.8666666666666667,-0.10452846326765369,0.9135454576426009,-0.8090169943749477,,2390707423242914,,-2968966907706688.5,,-21172604282907784,,-2.175086376737156e+16
30,0.3631344587130605,3.414239372934961,-0.1442049125468014,3.471140652809707,-0.4443016235021122,3.025613186788501,81.68140899333463,,278879882621846816,,283527659335539648,,247136348165698016,2,-0.49999999999999917,1,-0.4999999999999999,,278879882621846816,,-141763829667769584,,-123568174082848976,,1.3547878871228256e+16
32,0.2285620463720192,3.475082593251969,-0.2597225503200713,3.307193687757827,-0.3628119971512843,2.773799452163319,81.68140899333463,,283849642585031264,,270136240229921120,,226567847517638848,2.1333333333333333,-0.8090169943749472,0.9135454576426008,-0.10452846326765454,,259309551637031040,,-218544809142559488,,-23682788926879068,,1.7081953567592484e+16
34,0.1696613115115592,3.531352730065978,-0.2143237112966029,3.160977880706576,-0.1087497301685315,2.625180590680824,81.68140899333463,,288445866644247296,,258193127092877472,,214428449508763840,2.2666666666666666,-0.9781476007338057,0.6691306063588589,0.30901699437494523,,193007957649371744,,-252550987791856672,,66262034975677904,,6719004833192976.0
36,0.0479264187040442,3.593498575894067,-0.1597574679291029,3.088210626542304,0.1431601765520593,2.643620116960554,81.68140899333463,,293522026894568256,,252249395244163776,,215934615996461824,2.4,-0.9781476007338058,0.3090169943749478,0.6691306063588582,,90703294533802064,,-246737140744632288,,144488460535579712,,-1.1545385675250496e+16
38,-0.05355665927018782,3.580064097420574,-0.05480987666986252,3.033229748558206,0.39053094652357,2.763307159463973,81.68140899333463,,292424679763762944,,247758479662731904,,225710822266386272,2.533333333333333,-0.8090169943749477,-0.10452846326765369,0.9135454576426004,,-30566702397241888,,-200440820547649952,,206197096422233504,,-2.4810426522658336e+16
40,-0.193910830144596,3.61116084418817,0.01158895215411866,3.104752095495987,0.518555705197607,3.052041991680436,81.68140899333463,,29496470585484944,,253600525735119872,,249295090187280800,2.6666666666666665,-0.4999999999999999,-0.49999999999999917,1,,-14748235292742448,,-126800262867559904,,249295090187280800,,1.0774659202697845e+17
42,-0.3929408815536452,3.48657210076383,-0.01081018793534711,3.115321343504514,0.4762154834913356,3.286023807022659,81.68140899333463,,28478812174724032,,254463836804456608,,268407054543251584,2.8,-0.10452846326765454,-0.8090169943749472,0.9135454576426009,,-23039843028963892,,-26598713818361080,,245202045477217312,,1.9556348862989235e+17
44,-0.4767825082823159,3.290267317638544,0.009569190443379406,3.11975479069207,0.3919771458841244,3.489357811929341,81.68140899333463,,268753670469435648,,25482596701743404,,285015662560287648,2.933333333333333,0.30901699437494523,-0.9781476007338054,0.6691306063588591,,-262880757958082240,,7874555441641639,,190712703110737248,,-6.429349940570336e+16
46,-0.5199902685628047,3.052919220437358,-0.01314793740791033,3.105078565962506,0.1921657596430121,3.614828406534682,81.68140899333463,,249366743468155488,,253627192302819936,,295264277514883264,3.066666666666667,0.6691306063588582,-0.9781476007338055,0.3090169943749463,,-243917481826178656,,169709716974680640,,91241679583939264,,1.7033914732441248e+16
48,-0.3978123824271442,2.765341929201521,0.04794801566733987,3.033682645433258,0.04759832639805336,3.582301950805741,81.68140899333463,,225877025125526368,,247795472917614656,,292607470781384128,3.2,0.9135454576426004,-0.8090169943749477,-0.10452846326765344,,-182738351965407872,,226372428708286880,,-30585809261412888,,1.304826748146612e+16
50,-0.1486077953088189,2.653551464129564,0.1535915650069318,3.097400104736281,-0.05477632123790013,3.597741712800484,81.68140899333463,,216745822426428512,,253000004770961600,,293868612295636224,3.3333333333333335,1,-0.4999999999999999,-0.49999999999999895,,-108372911213214224,,253000004770961600,,-146934306147817792,,-2307212590070400.0
