2368,-0.010,0.020,-0.010
2370,-0.013,0.026,-0.013
2373,-0.003,0.007,-0.003
2375,-0.016,0.033,-0.016
2377,-0.033,0.065,-0.033
2379,-0.036,0.072,-0.036
2381,-0.036,0.072,-0.036
2383,-0.059,0.117,-0.059
2385,-0.062,0.124,-0.062
2388,-0.068,0.137,-0.068
2390,-0.078,0.156,-0.078
2392,-0.085,0.169,-0.085
2395,-0.088,0.176,-0.088
2397,-0.098,0.196,-0.098
2399,-0.101,0.202,-0.101
2401,-0.104,0.209,-0.104
2403,-0.108,0.215,-0.108
2405,-0.111,0.222,-0.111
2407,-0.117,0.235,-0.117
2409,-0.117,0.235,-0.117
2411,-0.121,0.241,-0.121
2414,-0.121,0.241,-0.121
2416,-0.124,0.248,-0.124
2418,-0.121,0.241,-0.121
2420,-0.127,0.254,-0.127
2422,-0.127,0.254,-0.127
2424,-0.127,0.254,-0.127
2426,-0.130,0.261,-0.130
2428,-0.130,0.261,-0.130
2431,-0.130,0.261,-0.130
2434,-0.134,0.267,-0.134
2436,-0.130,0.261,-0.130
2438,-0.124,0.248,-0.124
2440,-0.134,0.267,-0.134
2442,-0.130,0.261,-0.130
2444,-0.130,0.261,-0.130
2446,-0.127,0.254,-0.127
2448,-0.130,0.261,-0.130
2450,-0.124,0.248,-0.124
2453,-0.121,0.241,-0.121
2455,-0.117,0.235,-0.117
2457,-0.111,0.222,-0.111
2459,-0.104,0.209,-0.104
2461,-0.098,0.196,-0.098
2463,-0.091,0.182,-0.091
2465,-0.081,0.163,-0.081
2467,-0.075,0.150,-0.075
2469,-0.059,0.117,-0.059
2473,-0.046,0.091,-0.046
2475,-0.033,0.065,-0.033
2477,-0.010,0.020,-0.010
2479,0.000,0.000,0.000
2481,0.033,-0.016,-0.016
2483,0.078,-0.039,-0.039
2485,0.130,-0.065,-0.065
2487,0.182,-0.091,-0.091
2489,0.248,-0.124,-0.124
2491,0.306,-0.153,-0.153
2493,0.378,-0.189,-0.189
2496,0.456,-0.228,-0.228
2498,0.541,-0.270,-0.270
2500,0.639,-0.319,-0.319
2502,0.736,-0.368,-0.368
2504,0.828,-0.414,-0.414
2506,0.912,-0.456,-0.456
2508,0.984,-0.492,-0.492
2510,1.056,-0.528,-0.528
2512,1.101,-0.551,-0.551
2516,1.134,-0.567,-0.567
2518,1.147,-0.573,-0.573
2520,1.127,-0.564,-0.564
2522,1.101,-0.551,-0.551
